utt_id,audio_path,reference,Accent,Age,Gender,Background,Sentiment,District,State,Other,audio_drive_id,audio_filename,location_source,normalized_district,normalized_state,content_type,topic_status,topics,failure_mode,entities,affected_population,translated_text,gate_1_modality,is_grievance_eligible,gate_1_reason,taxonomy_consistency,conflict_pattern,consistency_reason
13-00077-02,./Audio/13-00077-02.mp3,और ऐसे ही बड़ी खबरों के लिए सुनते रहे मधुवनी मोबाइल वाणी धन्यवाद,,Adult,Female,,,Madhubani,Bihar,,1vHapIi3vVtG3b6CxL2HxOZ7V53JsRgnG,13-00077-02.mp3,metadata,Madhubani,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller statement: 'और ऐसे ही बड़ी खबरों के लिए सुनते रहे मधुवनी मोबाइल वाणी धन्यवाद',platform_broadcast_bumper,False,Controlled non-substantive media modality (platform_broadcast_bumper); isolated from grievance pipeline,not_applicable,none,Non-grievance modality or non-substantive topic status
13-00094-02,./Audio/13-00094-02.mp3,वौइस् ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिस ने एड लांच किया हैं पुलिस प्रसाशन आर टी ओ और डी टी ओ के माध्यम ऐसी इनमें,,,Female,,,Darbhanga,Bihar,,1lmrudQn96p1ft5Dkt9gj4RUj14nQY5o-,13-00094-02.mp3,metadata,Darbhanga,Bihar,citizen_grievance,substantive,"[{'domain': 'Rural Roads & Physical Connectivity', 'theme': 'Road Connectivity & Bridge Infrastructure', 'issue': 'Dilapidated Roads, Potholes & Missing Culverts', 'confidence': 0.91}, {'domain': 'Governance & Social Entitlements', 'theme': 'Law, Order & Public Safety', 'issue': 'Police Responsiveness & Thana Grievance Redressal', 'confidence': 0.89}]",['infrastructure_damage'],[],[],Darbhanga police and transport authorities have launched an advisory to streamline municipal traffic management.,public_information_bulletin,False,"Public utility maintenance/police advisory announcement (retained as contextual bulletin, excluded from grievance synthesis)",not_applicable,none,Non-grievance modality or non-substantive topic status
13-00133-01,./Audio/13-00133-01.mp3,हमारे मोबइलवाणी के माध्यम ऐसी कहते हैं की मुंगेर के मांझी टोला में करीब सौ बच्चों के बीच कापियों और पेंसिल का वितरण किया गया इस ऐसी बच्चों के चेहरे पर,Bihari,Adult,Female,,Happy,Munger,Bihar,audio_jump,1P6OOMw7Gkcv9ZZU_shOG-l5HSn6SCmie,13-00133-01.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller statement: 'हमारे मोबइलवाणी के माध्यम ऐसी कहते हैं की मुंगेर के मांझी टोला में करीब सौ बच्चों के बीच कापियों और पेंसिल का वितरण किया गया इस ऐसी बच्चों के चेहरे पर',platform_broadcast_bumper,False,Controlled non-substantive media modality (platform_broadcast_bumper); isolated from grievance pipeline,not_applicable,none,Non-grievance modality or non-substantive topic status
13-00139-03,./Audio/13-00139-03.mp3,वौइस् ऐसी ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिसने एक आप लांच किया है पुलिस प्रशासन आर टी ओ और डी टी ओ के माध्यम ऐसी इनमे,,,Female,,,Darbhanga,Bihar,,18a_uUXeLY6cBmPbsd7WsMHeSnsGrsQTL,13-00139-03.mp3,metadata,Darbhanga,Bihar,citizen_grievance,substantive,"[{'domain': 'Rural Roads & Physical Connectivity', 'theme': 'Road Connectivity & Bridge Infrastructure', 'issue': 'Dilapidated Roads, Potholes & Missing Culverts', 'confidence': 0.91}, {'domain': 'Governance & Social Entitlements', 'theme': 'Law, Order & Public Safety', 'issue': 'Police Responsiveness & Thana Grievance Redressal', 'confidence': 0.89}]",['infrastructure_damage'],[],[],Community caller statement: 'वौइस् ऐसी ट्रैफिक व्यवस्था को दुरुस्त कराने के लिए दरभंगा पुलिसने एक आप लांच किया है पुलिस प्रशासन आर टी ओ और डी टी ओ के माध्यम ऐसी इनमे',public_information_bulletin,False,"Public utility maintenance/police advisory announcement (retained as contextual bulletin, excluded from grievance synthesis)",not_applicable,none,Non-grievance modality or non-substantive topic status
13-00149-02,./Audio/13-00149-02.mp3,और ऐसे ही बड़ी खबरों के लिए सुनते रहे मधुवनी मोबइलवाणी धन्यवाद,,Adult,Female,,,Madhubani,Bihar,,1O-U6Lj_SH89eyEfvmdHohkZgLdmxRVYj,13-00149-02.mp3,metadata,Madhubani,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller statement: 'और ऐसे ही बड़ी खबरों के लिए सुनते रहे मधुवनी मोबइलवाणी धन्यवाद',platform_broadcast_bumper,False,Controlled non-substantive media modality (platform_broadcast_bumper); isolated from grievance pipeline,not_applicable,none,Non-grievance modality or non-substantive topic status
13-00154-04,./Audio/13-00154-04.mp3,धन्यवाद साथियों में मधु लेकर आई हूँ शाम की सुर्खिया,,Adult,Female,Music,,Munger,Bihar,,1hG890zre7ZEUzOLwbhXWauOI8M6RF9HI,13-00154-04.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],"Thank you friends, bringing you the evening news headlines.",platform_broadcast_bumper,False,Controlled non-substantive media modality (platform_broadcast_bumper); isolated from grievance pipeline,not_applicable,none,Non-grievance modality or non-substantive topic status
13-00154-06,./Audio/13-00154-06.mp3,दिखेगा श्वेत धवल चांदनी बिखेरने वाला चाँद आज सुर्ख लाल नज़र आयेगा इस पूरी खगोलीय घटना को किसी खास उपकरण का इस्तेमाल,,Adult,Female,,,Munger,Bihar,,1eT8p6ziOvYLyOHvK6JAbYDFJkThtFTnB,13-00154-06.mp3,metadata,Munger,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller statement: 'दिखेगा श्वेत धवल चांदनी बिखेरने वाला चाँद आज सुर्ख लाल नज़र आयेगा इस पूरी खगोलीय घटना को किसी खास उपकरण का इस्तेमाल',platform_broadcast_bumper,False,Controlled non-substantive media modality (platform_broadcast_bumper); isolated from grievance pipeline,not_applicable,none,Non-grievance modality or non-substantive topic status
13-00241-03,./Audio/13-00241-03.mp3,के बहुत ऐसी बच्चे और महिलायें आज भी इस तकनीकी युग में भी अशिक्षित है हालाँकि परिवार अपने बच्चों के भविष्य को देखते हुए शहर का रुख कर रहे है,Bihari,Adult,Male,,,Madhubani,Bihar,inaudible,1QRu4-E4DbezzHPohi9pKxWWwb9MnyYi7,13-00241-03.mp3,metadata,Madhubani,Bihar,platform_broadcast_bumper,not_applicable,[],[],[],[],Community caller statement: 'के बहुत ऐसी बच्चे और महिलायें आज भी इस तकनीकी युग में भी अशिक्षित है हालाँकि परिवार अपने बच्चों के भविष्य को देखते हुए शहर का रुख कर रहे है',platform_broadcast_bumper,False,Controlled non-substantive media modality (platform_broadcast_bumper); isolated from grievance pipeline,not_applicable,none,Non-grievance modality or non-substantive topic status
13-00241-04,./Audio/13-00241-04.mp3,शिक्षा मित्र के रूप में जो अप्रशिक्षित शिक्षकों की बहाली हुई थी वही आज भी शिक्षक बने हुए है जो बच्चों को अच्छी शिक्षा देने में असमर्थ है,Bihari,Adult,Male,,,Madhubani,Bihar,,1jDy0lqjz5P4HuQVfEHMVbBvMNysGAvyV,13-00241-04.mp3,metadata,Madhubani,Bihar,citizen_grievance,substantive,"[{'domain': 'Education & Learning', 'theme': 'School Staffing & Basic Infrastructure', 'issue': 'Teacher Shortage & Teacher Absenteeism', 'confidence': 0.87}]",['absenteeism'],[],[],"Untrained para-teachers appointed years ago as Shiksha Mitras remain in schools, unable to deliver quality education to children.",citizen_grievance,True,Substantive citizen grievance reporting localized public service breakdown,partially_consistent,pedagogical_qualification_nuance,Evidence concerns Shiksha Mitra teacher pedagogical qualification deficits rather than physical headcount shortage
13-00241-05,./Audio/13-00241-05.mp3,साथ ही स्कूलों के जर्जर भवनों ऐसी हमेशा खतरा बना रहता है पठन पठन सामग्री का नहीं होना तथा मध्य भोजन के देख रेख में अनियमित्ता बरतने ऐसी,Bihari,Adult,Male,,,Madhubani,Bihar,,1zlZcE_b8xs7NdJbG0RCVsdZ2dp68cM1h,13-00241-05.mp3,metadata,Madhubani,Bihar,citizen_grievance,substantive,"[{'domain': 'Education & Learning', 'theme': 'School Staffing & Basic Infrastructure', 'issue': 'School Building Safety, Classrooms & Basic Amenities', 'confidence': 0.86}]",['infrastructure_damage'],[],[],Dilapidated school buildings pose a constant danger; lack of learning materials and irregularities in the Mid-Day Meal scheme continue.,citizen_grievance,True,Substantive citizen grievance reporting localized public service breakdown,consistent,none,Evidence aligns with assigned issue scope
